shopify_id,first_name,last_name,email,phone,address,city,state,zip
SHP_21395,Alexander,Taylor,alexander.taylor@hotmail.com,+1-851-785-8976x811,89149 Megan Mill Suite 991,Stevenside,WV,04417
SHP_87397,Robert,Schultz,robert.schultz@hotmail.com,(789)640-6041,35962 Jessica Knolls,East Dawnshire,MI,18776
SHP_65302,Michael,Smith,michael.smith@gmail.com,+1-868-346-8737x561,375 Hodges Harbor Apt. 140,Deborahberg,MH,44837
SHP_14165,Rebecca,Cisneros,rebecca.cisneros@hotmail.com,(583)684-3247x6114,335 Richard Port,Leonardview,LA,88807
SHP_13905,Carla,Tran,carla.tran@hotmail.com,596-366-8673x4815,19043 Johnson Island,Duncanview,WV,31641
SHP_22280,Steven,Craig,steven.craig@gmail.com,+1-651-995-4746,75098 Roman Skyway,North Larryhaven,TN,69585
SHP_38657,Victoria,Chung,victoria.chung@yahoo.com,209-534-3688x6914,6569 Andrew Burg,East Williamfort,MD,84536
SHP_40495,Kathryn,Huffman,kathryn.huffman@hotmail.com,357.353.8481,703 Ellis Locks Apt. 164,South Jacob,MP,44321
SHP_76237,Leslie,Massey,leslie.massey@hotmail.com,798.362.2140,86604 Parker Ways,East Andrea,MP,12335
SHP_88907,Christopher,Grant,christopher.grant@hotmail.com,+1-618-696-5583,6229 Hernandez Park Suite 056,Smithchester,CT,55551
SHP_13478,Alexander,Torres,alexander.torres@yahoo.com,868-343-2109x5496,3079 Ashley Club Suite 676,South Andrewshire,MN,15980
SHP_83563,Mark,Lawson,mark.lawson@gmail.com,(244)791-5321x80113,15682 Keith Plains,Sarahtown,VA,16935
SHP_36062,Jacob,Hernandez,jacob.hernandez@gmail.com,+1-500-291-7316x3324,44783 Sandra Crest Apt. 125,Harveyside,OR,57081
SHP_95181,Mary,Barnes,mary.barnes@hotmail.com,+1-897-493-9828x02562,762 Whitaker Valleys,Alexandriafort,LA,92559
SHP_81426,Annette,Nelson,annette.nelson@gmail.com,241-978-8007x1921,9182 Samantha Mall,Lake Michelleberg,TX,07946
SHP_64987,Beth,Roberts,beth.roberts@hotmail.com,001-982-988-6845,98014 James Drive Apt. 290,Lake Timothyville,IL,57979
SHP_38893,Erika,Sharp,erika.sharp@gmail.com,(375)849-8111x809,089 Jennifer Drives Apt. 471,Johnport,AZ,14568
SHP_68878,Melissa,Burns,melissa.burns@gmail.com,001-614-479-3442x3665,36178 Horn Route,West Christianview,LA,57372
SHP_87236,Grace,Williams,grace.williams@gmail.com,249.439.0981x122,1285 Jason Pass,Antonioport,MP,14679
SHP_46463,Jeffery,Fox,jeffery.fox@yahoo.com,8093537234,2313 Kristin Crescent Apt. 944,South Kevinborough,VT,13495
SHP_10851,Matthew,Dean,matthew.dean@yahoo.com,508-288-8503x7219,80848 Brenda Lodge Apt. 462,Port Kimberlyfort,IN,72654
SHP_30926,Paul,Newton,paul.newton@gmail.com,(650)782-5726x9677,8996 John Street Apt. 563,Andreamouth,WV,82307
SHP_65392,Melissa,Solomon,melissa.solomon@yahoo.com,+1-795-523-1362x8141,3880 Michelle Loop,North Marchaven,NE,23093
SHP_54597,Melissa,Howard,melissa.howard@yahoo.com,(326)725-5483,293 Monica Creek,South Carolside,WI,47931
SHP_46421,David,Delgado,david.delgado@yahoo.com,(608)401-2893,92053 Morris Heights,Reginaldchester,RI,55389
SHP_30379,Jessica,Horn,jessica.horn@gmail.com,001-868-356-8888,597 Shelly Parkway,Downsfort,VI,77985
SHP_38221,Patrick,Ibarra,patrick.ibarra@hotmail.com,586.418.1546x329,847 Johnson Port Apt. 745,Vegafurt,NY,32331
SHP_54118,Earl,Johnson,earl.johnson@yahoo.com,767-903-8706x8829,4031 Perry Shore Suite 609,Lake Ryan,DE,93559
SHP_23396,John,Moore,john.moore@gmail.com,001-358-592-0790x4266,763 Garrett Pike Suite 285,New Vanessa,VI,67810
SHP_22156,James,Graham,james.graham@yahoo.com,(652)687-1694,498 Andrews Mall,West Todd,LA,50793
SHP_59797,Robin,Alvarez,robin.alvarez@gmail.com,464.804.0465x511,110 Smith Dale,New Jennifer,GA,05463
SHP_22676,Jared,Sanchez,jared.sanchez@hotmail.com,407-249-0068x326,123 Brandi Wells,Rodrigueztown,NY,71929
SHP_57052,Peter,Ramirez,peter.ramirez@yahoo.com,001-999-800-9378x14604,3788 Hill Mount,South Jessicaland,ND,99125
